state,count,date
Total,275413,2020-06-10
Maharashtra,90787,2020-06-10
Tamil Nadu,34914,2020-06-10
Delhi,29943,2020-06-10
Gujarat,21044,2020-06-10
Rajasthan,11245,2020-06-10
Uttar Pradesh,11335,2020-06-10
Madhya Pradesh,9849,2020-06-10
West Bengal,8985,2020-06-10
State Unassigned,9227,2020-06-10
Karnataka,5921,2020-06-10
Bihar,5455,2020-06-10
Haryana,5209,2020-06-10
Andhra Pradesh,5029,2020-06-10
Jammu and Kashmir,4346,2020-06-10
Telangana,3920,2020-06-10
Odisha,3250,2020-06-10
Assam,3051,2020-06-10
Punjab,2719,2020-06-10
Kerala,2097,2020-06-10
Uttarakhand,1537,2020-06-10
Jharkhand,1416,2020-06-10
Chhattisgarh,1211,2020-06-10
Tripura,866,2020-06-10
Himachal Pradesh,437,2020-06-10
Goa,359,2020-06-10
Chandigarh,327,2020-06-10
Manipur,304,2020-06-10
Puducherry,132,2020-06-10
Nagaland,128,2020-06-10
Ladakh,108,2020-06-10
Mizoram,93,2020-06-10
Arunachal Pradesh,57,2020-06-10
Meghalaya,43,2020-06-10
Andaman and Nicobar Islands,34,2020-06-10
Dadra and Nagar Haveli and Daman and Diu,22,2020-06-10
Sikkim,13,2020-06-10
Lakshadweep,0,2020-06-10
